N,Fecha colapso,Nombre,Tipo de Puente,Causa principal,Material,Colapso,Estado,Pais
1,1945,Ludendorff,Armadura,Ataque terrorista,Acero,Total,Servicio,Alemania
2,2012,Rio Beaver,Trestle,Ataque terrorista,"Madera, Hormig�n armado, acero",Total,Servicio,Canada
3,2024,Red,Viga,Ataque terrorista,Hormig�n armado,Total,Servicio,Canada
4,1997,La Granja,No definido,Ataque terrorista,Hormig�n armado,Total,Servicio,Colombia
5,1997,La Conguta,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
6,1997,No nombre,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
7,1997,Villartega,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
8,"Diciembre, 1998",Viao,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
9,"Abril, 1999",Tasido,No definido,Ataque terrorista,Hormig�n armado,Total,Servicio,Colombia
10,"Abril, 2000",El Caminito,No definido,Ataque terrorista,Acero,Parcial,Servicio,Colombia
11,"Abril, 2000",Costa Rica,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
12,"Marzo, 2000",Cubugon,No definido,Ataque terrorista,Hormig�n armado,Parcial,Servicio,Colombia
13,"Abril, 2000",La Honda,No definido,Ataque terrorista,Hormig�n armado,Total,Servicio,Colombia
14,"Mayo, 2000",Ponton Cuchuca,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
15,"Julio, 2000",Ponton,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
16,"Junio, 2000",Colorado,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
17,"Septiembre, 2000",Ponton Tolima,No definido,Ataque terrorista,Acero,Parcial,Servicio,Colombia
18,"Junio, 2001",Rio Negro,No definido,Ataque terrorista,Hormig�n armado,Parcial,Servicio,Colombia
19,"Agosto, 2000",Penjamo,No definido,Ataque terrorista,Hormig�n armado,Parcial,Servicio,Colombia
20,"Noviembre, 2000",Molino Viejo,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
21,"Febrero, 2001",El Mango,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
22,"Febrero, 2001",Paso a desnivel,No definido,Ataque terrorista,No definido,Parcial,Servicio,Colombia
23,"Febrero, 2001",El Caminito,No definido,Ataque terrorista,Acero,Parcial,Servicio,Colombia
24,1984,Cuscatl�n,Suspension,Ataque terrorista,Hormig�n armado,Total,Servicio,El Salvador
25,2002,Rafiganj,Armadura,Ataque terrorista,No definido,Total,Servicio,India
26,2015,Kudzum,No definido,Ataque terrorista,Hormig�n armado,Total,Servicio,Nigeria
27,2014,Dilichim,No definido,Ataque terrorista,No definido,Total,Servicio,Nigeria
28,2015,Mubi,No definido,Ataque terrorista,No definido,Total,Servicio,Nigeria
29,2014,Biu Highway,No definido,Ataque terrorista,No definido,Total,Servicio,Nigeria
30,2014,Gwoza Bama,No definido,Ataque terrorista,No definido,Total,Servicio,Nigeria
31,2014,Nbulu river,No definido,Ataque terrorista,No definido,Total,Servicio,Nigeria
32,2014,Katarko,No definido,Ataque terrorista,Hormig�n armado,Total,Servicio,Nigeria
33,1970,Britannia,Viga,Ataque terrorista,No definido,Total,Servicio,Reino Unido
34,1992,Staples Corner,No definido,Ataque terrorista,No definido,Parcial,Servicio,Reino Unido
35,1905,Egyptian,Suspension,Ataque terrorista,Piedra,Total,Servicio,Rusia
36,No date,Sin nombre,Suspension,Ataque terrorista,Acero,Parcial,Servicio,Turquia
37,No date,Sin nombre,Armadura,Ataque terrorista,Acero,Total,Servicio,Turquia
38,No date,Sin nombre,Armadura,Ataque terrorista,Acero,Total,Servicio,Turquia
39,No date,Sin nombre,Armadura,Ataque terrorista,Acero,Total,Servicio,Turquia
40,No date,Sin nombre,Armadura,Ataque terrorista,Acero,Total,Servicio,Turquia
41,1861,Missouri,No definido,Ataque terrorista,No definido,Parcial,Servicio,USA
42,1966,Heiligenstedten,Atirantado,Colision,Hormig�n armado,Total,Servicio,Alemania
43,1998,Eschede,No definido,Colision,No definido,Total,Servicio,Alemania
44,2015,Friesenbr�cke,Armadura,Colision,Acero,Total,Servicio,Alemania
45,1837,Donaustauf,No definido,Colision,No definido,Parcial,Servicio,Alemania
46,1869,Hammer,Armadura,Colision,Acero,Parcial,Servicio,Alemania
47,1908,Herrenbr�cke,Colgante,Colision,Madera,Parcial,Servicio,Alemania
48,1947,Bremen,No definido,Colision,No definido,Total,Servicio,Alemania
49,1979,Over A2,Viga,Colision,Hormig�n armado,Total,Servicio,Alemania
50,1979,Over A3,Viga,Colision,Hormig�n armado,Total,Servicio,Alemania
51,1979,Over A1,Viga,Colision,Hormig�n armado,Parcial,Servicio,Alemania
52,1980,Dortmund-Ems,Suspension,Colision,Hormig�n armado,Total,Servicio,Alemania
53,1981,Mittl. Ring,Viga,Colision,Hormig�n armado,Total,Servicio,Alemania
54,1998,Eschede,Viga,Colision,Hormig�n armado,Total,Servicio,Alemania
55,1999,Wuppertal Schwebebahn,Armadura,Colision,Acero,Parcial,Servicio,Alemania
56,1825,Nienburg Bridge,Atirantado,Colision,Hormig�n armado,Total,Servicio,Alemania
57,1942,Stubenrauch Bridge,Armadura,Colision,Acero,Parcial,Servicio,Alemania
58,1945,Oder bridge,Armadura,Colision,Acero,Total,Servicio,Alemania
59,1945,Laasan Bridge,Arco,Colision,Acero,Total,Servicio,Alemania
60,1947,Freeman Bridge,Arco,Colision,Acero,Total,Servicio,Alemania
61,2005,Kattwykbr�cke,Arco,Colision,Acero,Parcial,Servicio,Alemania
62,1975,Tasman,Viga,Colision,Hormig�n armado,Total,Servicio,Australia
63,1977,Granville,Sobrepaso,Colision,Hormig�n armado,Total,Servicio,Australia
64,1975,Tasman,Viga,Colision,Hormig�n armado,Parcial,Servicio,Australia
65,1938,Tasman Bridge,Viga,Colision,Acero,Parcial,Servicio,Australia
66,1977,Granville Bridge,Atirantado,Colision,Acero,Total,Servicio,Australia
67,1974,Luttre,Armadura,Colision,Hormig�n armado,Parcial,Servicio,Belgica
68,2007,Highway 325,Viga,Colision,Hormig�n armado,Parcial,Servicio,China
69,2008,Jintang,Atirantado,Colision,Hormig�n armado,Parcial,Construccion,China
70,2011,Chengdu Kunming,Viga,Colision,Hormig�n armado,Total,Servicio,China
71,2024,Lixinsha,Viga,Colision,Hormig�n armado,Parcial,Servicio,China
72,2007,Foshan,Viga,Colision,Hormig�n armado,Parcial,Servicio,China
73,"Mayo, 1993",El Limon,No definido,Colision,Hormig�n armado,Total,Servicio,Colombia
74,"Noviembre, 1994",San Luis,No definido,Colision,Acero,Total,Servicio,Colombia
75,"Junio, 1994",Avirama,No definido,Colision,No definido,Total,Servicio,Colombia
76,"Junio, 1994",Itaibe,No definido,Colision,No definido,Total,Servicio,Colombia
77,"Junio, 1994",Juntas,No definido,Colision,No definido,Total,Servicio,Colombia
78,"Junio, 1994",Naranjal,No definido,Colision,Hormig�n armado,Total,Servicio,Colombia
79,"Junio, 1994",Nolasco,No definido,Colision,No definido,Total,Servicio,Colombia
80,"Junio, 1994",Moras,No definido,Colision,Hormig�n armado,Total,Servicio,Colombia
81,"Junio, 1994",Cohentando,No definido,Colision,No definido,Total,Servicio,Colombia
82,"Junio, 1994",Ricaurte,No definido,Colision,Madera,Total,Servicio,Colombia
83,"Junio, 1994",Simbola,No definido,Colision,No definido,Total,Servicio,Colombia
84,"Junio, 1994",Capri,No definido,Colision,Hormig�n armado,Total,Servicio,Colombia
85,"Junio, 1994",La Troja,No definido,Colision,Hormig�n armado,Total,Servicio,Colombia
86,"Junio, 1994",Itaibe,No definido,Colision,No definido,Total,Servicio,Colombia
87,"Junio, 1994",Nolasco,No definido,Colision,No definido,Total,Servicio,Colombia
88,1997,Matanzas,No definido,Colision,Acero,Total,Servicio,Colombia
89,2012,Limfjord,Viga,Colision,Acero,Parcial,Servicio,Dinamarca
90,1935,Copenhagen,Armadura,Colision,Acero,Parcial,Servicio,Dinamarca
91,1947,Great Belt Fixed Link,Viga,Colision,Hormig�n armado,Parcial,Servicio,Dinamarca
92,1938,Ferdan Bridge,Viga,Colision,Hormig�n armado,Parcial,Servicio,Egipto
93,2010,Laajasalo,Viga,Colision,Hormig�n armado,Total,Servicio,Finlandia
94,1907,Ponts de C�,Armadura,Colision,Acero,Parcial,Servicio,Francia
95,1977,Beki,Armadura,Colision,Acero,Total,Servicio,India
96,2002,Rafiganj Rail Bridge,Atirantado,Colision,Acero,Total,Servicio,India
97,2003,Cahir,Armadura,Colision,Acero,Total,Servicio,Irlanda
98,2017,Ramat Elhanan,No definido,Colision,Hormig�n armado,Parcial,Servicio,Israel
99,2006,Nimule,No definido,Colision,No definido,Total,Servicio,Kenia
100,1963,Kristiansund,Viga,Colision,Hormig�n armado,Parcial,Servicio,Noruega
101,2000,Chagres,Viga,Colision,No definido,Parcial,Servicio,Panama
102,1999,Rio Chiriqu�,Suspension,Colision,Acero,Total,Servicio,Panama
103,1952,Harrow and Wealdstone,No definido,Colision,No definido,Total,Servicio,Reino Unido
104,1957,St. Johns station,Armadura,Colision,Acero,Total,Servicio,Reino Unido
105,1960,Severn,Arco,Colision,Hierro Fundido,Total,Servicio,Reino Unido
106,1922,Sheppey,Viga,Colision,No definido,Parcial,Servicio,Reino Unido
107,1957,St John�s,Viga,Colision,Hormig�n armado,Parcial,Servicio,Reino Unido
108,1975,M62,Suspension,Colision,Hormig�n armado,Total,Servicio,Reino Unido
109,2005,Codsall,Suspension,Colision,"Madera, acero",Total,Servicio,Reino Unido
110,2011,Severn Railway Bridge,Armadura,Colision,Acero,Parcial,Servicio,Reino Unido
111,2008,St�denka bridge,Viga,Colision,Acero,Total,Servicio,Republica Checa
112,1980,Alm�bron,Arco,Colision,Acero,Parcial,Servicio,Suecia
113,1977,Gothenburg Harbour,No definido,Colision,No definido,Parcial,Servicio,Suecia
114,1980,Alm� Sound,Arco,Colision,Hormig�n armado,Total,Servicio,Suecia
115,1980,Tjorn,Viga,Colision,No definido,Total,Servicio,Suecia
116,1980,Alm� Bridge,Armadura,Colision,Hormig�n armado,Total,Construccion,Suecia
117,1891,M�nchenstein Bridge,Arco,Colision,Acero,Total,Servicio,Suiza
118,No date,Sin nombre,Viga,Colision,Hormig�n armado,Total,Servicio,Turquia
119,No date,Sin nombre,Viga,Colision,Hormig�n armado,Total,Servicio,Turquia
120,No date,Sin nombre,Viga,Colision,Hormig�n armado,Total,Servicio,Turquia
121,No date,Sin nombre,Viga,Colision,Hormig�n armado,Total,Servicio,Turquia
122,No date,Sin nombre,Viga,Colision,Hormig�n armado,Parcial,Servicio,Turquia
123,No date,Sin nombre,Viga,Colision,Hormig�n armado,Parcial,Servicio,Turquia
124,No date,Sin nombre,Viga,Colision,Hormig�n armado,Parcial,Servicio,Turquia
125,No date,Sin nombre,Viga,Colision,Hormig�n armado,Parcial,Servicio,Turquia
126,No date,Sin nombre,Viga,Colision,Hormig�n armado,Parcial,Servicio,Turquia
127,No date,Sin nombre,Viga,Colision,Acero,Total,Servicio,Turquia
128,No date,Sin nombre,Viga,Colision,Acero,Total,Servicio,Turquia
129,No date,Sin nombre,Viga,Colision,Acero,Total,Servicio,Turquia
130,No date,Sin nombre,Viga,Colision,Acero,Total,Servicio,Turquia
131,No date,Sin nombre,Viga,Colision,Acero,Total,Servicio,Turquia
132,No date,Sin nombre,Viga,Colision,Acero,Total,Servicio,Turquia
133,No date,Sin nombre,Viga,Colision,Acero,Total,Servicio,Turquia
134,No date,Sin nombre,Viga,Colision,Acero,Total,Servicio,Turquia
135,No date,Sin nombre,Viga,Colision,Acero,Parcial,Servicio,Turquia
136,No date,Sin nombre,Viga,Colision,Acero,Parcial,Servicio,Turquia
137,No date,Sin nombre,Viga,Colision,Acero,Parcial,Servicio,Turquia
138,2005,128th Avenue Bridge,Armadura,Colision,Madera,Total,Servicio,USA
139,2005,128th Avenue Bridge,Arco,Colision,Madera,Total,Servicio,USA
140,1930,Butler Bridge,Armadura,Colision,Acero,Total,Servicio,USA
141,1947,Drake's Creek Bridge,Arco,Colision,Acero,Total,Servicio,USA
142,1949,Jelly�s Ferry Road Bridge,Armadura,Colision,Acero,Total,Servicio,USA
143,1957,Fassett Street Bridge,Arco,Colision,Acero,Total,Servicio,USA
144,1957,Ashtabula River Bridge,Arco,Colision,Acero,Total,Servicio,USA
145,1988,Calumet River Bridge,Arco,Colision,Acero,Total,Servicio,USA
146,1993,Big Bayou Canot,Armadura,Colision,Acero,Total,Servicio,USA
147,2013,Skagit River,Arco,Colision,Acero,Total,Servicio,USA
148,2018,Brown Station Way,Armadura,Colision,Acero,Total,Servicio,USA
149,1974,I-40 bridge,Viga,Colision,Hormig�n armado,Parcial,Servicio,USA
150,No date,Benjamin Harrison Memorial,Atirantado,Colision,Hormig�n armado,Parcial,Servicio,USA
151,No date,Sealy Bridge,Atirantado,Colision,Hormig�n armado,Parcial,Servicio,USA
152,1946,14th Street bridge,Atirantado,Colision,Hormig�n armado,Parcial,Servicio,USA
153,1953,Bolton Road Bridge,Viga,Colision,Hormig�n armado,Parcial,Servicio,USA
154,1972,"Sidney Lanier Bridge,",Atirantado,Colision,Hormig�n armado,Parcial,Servicio,USA
155,2007,Manchac Bridge,Viga,Colision,Hormig�n armado,Parcial,Servicio,USA
156,2010,Queen Isabel Causeway,Viga,Colision,Hormig�n armado,Parcial,Servicio,USA
157,1877,Emery Crossing Road Overpass,Viga,Colision,Acero,Parcial,Servicio,USA
158,1884,Hamilton Street Bridge,Arco,Colision,Acero,Parcial,Servicio,USA
159,1900,Webster Street Bridge,Arco,Colision,Acero,Parcial,Servicio,USA
160,1906,Huey P. Long Bridge,Armadura,Colision,Acero,Parcial,Servicio,USA
161,1945,John Grace Memorial,Arco,Colision,Acero,Parcial,Servicio,USA
162,1957,Sunshine Skyway Bridge,Arco,Colision,Acero,Parcial,Servicio,USA
163,2005,Judge William Seeber Bridge,Armadura,Colision,Acero,Parcial,Servicio,USA
164,2011,Eggner's Ferry Bridge,Arco,Colision,Acero,Parcial,Servicio,USA
165,2011,Bridge in Shepherdsville near Louisville,Armadura,Colision,Acero,Parcial,Servicio,USA
166,2011,Tobin Bridge,Viga,Colision,Hormig�n armado,Parcial,Servicio,USA
167,1891,Sidney Lanier Bridge,Armadura,Colision,Acero,Parcial,Servicio,USA
168,1942,Chesapeake Bay Bridge,Arco,Colision,Acero,Parcial,Servicio,USA
169,1905,Michigan,Armadura,Colision,Acero,Parcial,Servicio,USA
170,1946,South Carolina,Armadura,Colision,Acero,Parcial,Servicio,USA
171,1980,Florida,Viga,Colision,Acero,Parcial,Servicio,USA
172,1924,Oregon,Armadura,Colision,Acero,Parcial,Servicio,USA
173,1989,Kentucky,Armadura,Colision,Acero,Parcial,Servicio,USA
174,2001,Texas,Viga,Colision,Hormig�n armado,Parcial,Servicio,USA
175,2002,Oklahoma,Viga,Colision,Hormig�n armado,Parcial,Servicio,USA
176,2012,Hawaii,Viga,Colision,Hormig�n armado,Parcial,Servicio,USA
177,2013,Missouri,Viga,Colision,Hormig�n armado,Parcial,Servicio,USA
178,1939,New York,Viga,Colision,Hormig�n armado,Parcial,Construccion,USA
179,1879,Missouri,Armadura,Colision,Hierro fundido,Parcial,Servicio,USA
180,2012,Kentucky,Armadura,Colision,Hormig�n armado,Parcial,Servicio,USA
181,2016,Oklahoma,Viga,Colision,Hormig�n armado,Parcial,Servicio,USA
182,2021,Georgia,Viga,Colision,Hormig�n armado,Parcial,Servicio,USA
183,1970,Maryland,Viga,Colision,Hormig�n armado,Parcial,Servicio,USA
184,1972,Maryland,Viga,Colision,Hormig�n armado,Parcial,Servicio,USA
185,1976,Louisiana,Atirantado,Colision,Hormig�n armado,Parcial,Servicio,USA
186,1993,Alabama,Armadura,Colision,Hormig�n armado,Parcial,Servicio,USA
187,1936,Virginia,No definido,Colision,Madera,Parcial,Servicio,USA
188,1964,Louisiana,No definido,Colision,No definido,Parcial,Servicio,USA
189,1972,Georgia,Puente movible,Colision,No definido,Parcial,Servicio,USA
190,1977,Virginia,Puente movible,Colision,No definido,Parcial,Servicio,USA
191,1993,Louisiana,No definido,Colision,No definido,Parcial,Servicio,USA
192,2009,Mississippi,Puente movible,Colision,No definido,Parcial,Servicio,USA
193,2009,Michigan,Viga,Colision,No definido,Parcial,Servicio,USA
194,1945,Massachusetts,Colgante,Colision,No definido,Parcial,Servicio,USA
195,1946,South Carolina,No definido,Colision,No definido,Parcial,Servicio,USA
196,1964,Utah,No definido,Colision,No definido,Parcial,Servicio,USA
197,1974,Oregon,No definido,Colision,No definido,Parcial,Servicio,USA
198,1977,New Jersey,No definido,Colision,No definido,Parcial,Servicio,USA
199,1990,North Carolina,No definido,Colision,No definido,Parcial,Servicio,USA
200,2023,Montana,Armadura,Colision,Acero,Total,Servicio,USA
201,2024,Maryland,Armadura,Colision,Acero,Total,Servicio,USA
202,1937,Virginia,Armadura,Colision,Acero,Total,Servicio,USA
203,1947,Maine,Armadura,Colision,Acero,Total,Servicio,USA
204,1978,Louisiana,Armadura,Colision,Acero,Total,Servicio,USA
205,1979,Alabama,Armadura,Colision,Acero,Total,Servicio,USA
206,1942,Maryland,Puente movible,Colision,Hormig�n armado,Total,Servicio,USA
207,1999,Maryland,Viga,Colision,Hormig�n armado,Total,Servicio,USA
208,1886,New York,Armadura,Colision,Hierro fundido,Total,Servicio,USA
209,1892,Illinois,Armadura,Colision,Hierro fundido,Total,Servicio,USA
210,1897,South Carolina,Armadura,Colision,Hierro fundido,Total,Servicio,USA
211,1980,Wisconsin,Armadura,Colision,Hormig�n armado,Total,Servicio,USA
212,2001,New Jersey,Armadura,Colision,Hormig�n armado,Total,Servicio,USA
213,2004,Kansas,Armadura,Colision,Hormig�n armado,Total,Servicio,USA
214,1859,Indiana,Armadura,Colision,Madera,Total,Servicio,USA
215,1873,Rhode Island,Viga,Colision,No definido,Total,Servicio,USA
216,1935,Virginia,No definido,Colision,No definido,Total,Servicio,USA
217,1993,Alabama,Viga,Colision,No definido,Total,Servicio,USA
218,1937,Oregon,Viga,Colision,No definido,Total,Servicio,USA
219,2002,Texas,No definido,Colision,No definido,Total,Servicio,USA
220,1964,Rafael Urdaneta,Viga,Colision,Hormig�n armado,Parcial,Servicio,Venezuela
221,1964,Maracaibo,Atirantado,Colision,Hormig�n armado,Parcial,Servicio,Venezuela
222,1964,General Rafael Urdaneta Bridge,Atirantado,Colision,Hormig�n armado,Parcial,Construccion,Venezuela
223,2019,Rio Moju,Viga,Colision,Hormig�n armado,Total,Servicio,Brasil
224,1896,Point Ellice,No definido,Colision,No definido,Total,Servicio,Canada
225,2013,Wanup train,Trestle,Colision,Acero,Total,Servicio,Canada
226,1927,Second Narrows,Viga,Colision,No definido,Parcial,Servicio,Canada
227,1975,Fraser,No definido,Colision,No definido,Parcial,Servicio,Canada
228,1974,Bridge 12,Armadura,Colision,Acero,Total,Servicio,Canada
229,2016,Second Narrows Bridge in,Armadura,Colision,Acero,Parcial,Servicio,Canada
230,1983,Ulyanovsk,Viga,Colision,No definido,Parcial,Servicio,Rusia
231,2004,Leningradskoye Shosse,No definido,Colision,No definido,Parcial,Servicio,Rusia
232,1967,Ohio,Viga,Corrosion,Hormig�n armado,Total,Servicio,USA
233,1983,Connecticut,Viga,Corrosion,Hormig�n armado,Parcial,Servicio,USA
234,1985,Ynys-y-Gwas,Viga,Corrosion,Hormig�n armado,Total,Servicio,Reino Unido
235,1992,Schelde,No definido,Corrosion,No definido,Total,Servicio,Belgica
236,2005,Pennsylvania,Viga,Corrosion,Hormig�n armado,Parcial,Servicio,USA
237,2005,Maryland,Arco,Corrosion,Hormig�n armado,Total,Servicio,USA
238,2017,Troja,Suspension,Corrosion,Hormig�n armado,Total,Servicio,Republica Checa
239,1953,Whangaehu,Viga,Debris hidraulico,Hormig�n armado,Total,Servicio,Nueva Zelanda
240,1995,Virginia,Viga,Debris hidraulico,Acero,Total,Servicio,USA
241,1887,Alabama,Armadura,Debris hidraulico,Hierro fundido,Total,Servicio,USA
242,2004,South Carolina,Viga,Debris hidraulico,Hormig�n armado,Total,Servicio,USA
243,1825,Saalebr�cke bei M�nchen-Nienburg,Atirantado,Deficiencia constructiva,No definido,Parcial,Servicio,Alemania
244,1940,Theodor Heuss,Viga,Deficiencia constructiva,Hormig�n armado,Total,Construccion,Alemania
245,1945,Deutz,Suspension,Deficiencia constructiva,Acero,Total,Construccion,Alemania
246,1971,Koblenz,Viga,Deficiencia constructiva,Hormig�n armado,Total,Servicio,Alemania
247,2024,Carola,Viga,Deficiencia constructiva,Hormig�n armado,Parcial,Servicio,Alemania
248,1926,Gartz,Arco,Deficiencia constructiva,Hormig�n armado,Parcial,Construccion,Alemania
249,1936,Hardenbergstrasse,Viga,Deficiencia constructiva,Hormig�n armado,Parcial,Servicio,Alemania
250,1938,Valley,No definido,Deficiencia constructiva,Hormig�n armado,Parcial,Servicio,Alemania
251,1940,Frankenthal,Viga,Deficiencia constructiva,Hormig�n armado,Parcial,Construccion,Alemania
252,1945,Hindenburg,No definido,Deficiencia constructiva,No definido,Parcial,Servicio,Alemania
253,1973,Vorland,No definido,Deficiencia constructiva,No definido,Parcial,Servicio,Alemania
254,1974,Brohtalbridge,Viga,Deficiencia constructiva,Hormig�n armado,Parcial,Construccion,Alemania
255,1984,Lohr-Wertheim,Armadura,Deficiencia constructiva,Acero,Total,Construccion,Alemania
256,1985,Czerny,Viga,Deficiencia constructiva,Hormig�n armado,Parcial,Construccion,Alemania
257,1938,Vierendeelbridge,No definido,Deficiencia constructiva,Hormig�n armado,Total,Servicio,Belgica
258,2014,Belo Horizonte,Viga,Deficiencia constructiva,Hormig�n armado,Total,Construccion,Brasil
259,1907,Quebec,Armadura y en voladizo,Deficiencia constructiva,Acero,Total,Construccion,Canada
260,1916,Quebec,Armadura y en voladizo,Deficiencia constructiva,Acero,Total,Servicio,Canada
261,1951,Duplessis,No definido,Deficiencia constructiva,Acero,Total,Servicio,Canada
262,1958,Ironworkers Memorial,Armadura y en voladizo,Deficiencia constructiva,Acero,Total,Construccion,Canada
263,1966,Heron Road,Viga,Deficiencia constructiva,Hormig�n armado,Total,Construccion,Canada
264,2004,Big Nickel,No definido,Deficiencia constructiva,No definido,Total,Construccion,Canada
265,2006,De la Concorde,Viga,Deficiencia constructiva,Hormig�n armado,Parcial,Servicio,Canada
266,2016,Rio Nipigon,Atirantado,Deficiencia constructiva,Hormig�n armado,Parcial,Servicio,Canada
267,1951,Duplessis,Viga,Deficiencia constructiva,Hormig�n armado,Parcial,Servicio,Canada
268,2007,Tuo,No definido,Deficiencia constructiva,No definido,Total,Construccion,China
269,2007,Fenghuang,No definido,Deficiencia constructiva,No definido,Total,Construccion,China
270,"Octubre, 1997",Maizaro,No definido,Deficiencia constructiva,Hormig�n armado,Total,Servicio,Colombia
271,1999,Calle 26 y Avenida 68,No definido,Deficiencia constructiva,No definido,Parcial,Servicio,Colombia
272,2000,Tobia-Grande Puerto Salgar,No definido,Deficiencia constructiva,Hormig�n armado,Total,Servicio,Colombia
273,1937,Rio Kasai,No definido,Deficiencia constructiva,No definido,Total,Construccion,Congo
274,1992,Haengju,Atirantado,Deficiencia constructiva,Hormig�n armado,Parcial,Construccion,Corea
275,2006,E45,Viga,Deficiencia constructiva,No definido,Total,Servicio,Dinamarca
276,2014,Copenhagen,No definido,Deficiencia constructiva,Hormig�n armado,Parcial,Construccion,Dinamarca
277,2010,Zamora,No definido,Deficiencia constructiva,Acero,Total,Construccion,Ecuador
278,2011,Pichincha,No definido,Deficiencia constructiva,Hormig�n armado,Total,Construccion,Ecuador
279,2013,El Oro,No definido,Deficiencia constructiva,Hormig�n armado,Parcial,Construccion,Ecuador
280,2005,Almu��car,No definido,Deficiencia constructiva,Hormig�n armado,Parcial,Construccion,Espa�a
281,1928,K�revere Bridge,Viga,Deficiencia constructiva,Hormig�n armado,Total,Construccion,Estonia
282,1846,Barentin,Armadura,Deficiencia constructiva,Acero,Total,Construccion,Francia
283,1985,Sully-sur-Loire,Suspension,Deficiencia constructiva,Hormig�n armado,Total,Servicio,Francia
284,2007,Flyover,No definido,Deficiencia constructiva,No definido,Total,Construccion,India
285,2009,Kota Chambal,No definido,Deficiencia constructiva,No definido,Total,Construccion,India
286,2014,Surat,Atirantado,Deficiencia constructiva,Hormig�n armado,Parcial,Construccion,India
287,2016,Vivekananda,Viga,Deficiencia constructiva,Acero,Total,Construccion,India
288,2019,CST pedestrian,No definido,Deficiencia constructiva,Hormig�n armado,Parcial,Servicio,India
289,2023,Mizoram,Armadura,Deficiencia constructiva,Acero,Total,Construccion,India
290,2022,Julto Pul,Suspension,Deficiencia constructiva,No definido,Total,Servicio,India
291,1991,Astram Line,Armadura,Deficiencia constructiva,Acero,Total,Construccion,Japon
292,1979,Ayato,Viga,Deficiencia constructiva,Hormig�n armado,Total,Construccion,Japon
293,2017,Sigiri,Viga,Deficiencia constructiva,Hormig�n armado,Total,Construccion,Kenia
294,1974,Makahali,No definido,Deficiencia constructiva,No definido,Total,Servicio,Nepal
295,2016,Agbokim,No definido,Deficiencia constructiva,No definido,Total,Servicio,Nigeria
296,2012,Odili,No definido,Deficiencia constructiva,No definido,Total,Servicio,Nigeria
297,2006,Eziama bridge,No definido,Deficiencia constructiva,No definido,Total,Servicio,Nigeria
298,1967,Willemstad,Viga,Deficiencia constructiva,Acero,Total,Construccion,Paises Bajos
299,2007,Shershah,Viga,Deficiencia constructiva,No definido,Parcial,Servicio,Pakistan
300,2006,Yekaterinburg,No definido,Deficiencia constructiva,No definido,Total,Construccion,Rusia
301,1925,Mozyrow,Armadura,Deficiencia constructiva,Hormig�n armado,Total,Construccion,Rusia
302,2015,Grayston,Atirantado,Deficiencia constructiva,Hormig�n armado,Total,Construccion,Sudafrica
303,1939,Sand�,Arco,Deficiencia constructiva,Hormig�n armado,Total,Construccion,Suecia
304,1873,Payerne,Armadura,Deficiencia constructiva,Acero,Total,Construccion,Suiza
305,1883,T�ss,Armadura,Deficiencia constructiva,Acero,Total,Construccion,Suiza
306,No date,Sin nombre,Arco,Deficiencia constructiva,Hormig�n armado,Parcial,Servicio,Turquia
307,No date,Sin nombre,Arco,Deficiencia constructiva,Hormig�n armado,Parcial,Servicio,Turquia
308,No date,Sin nombre,Colgante,Deficiencia constructiva,Acero,Total,Servicio,Turquia
309,No date,Sin nombre,Viga,Deficiencia constructiva,Acero,Total,Servicio,Turquia
310,No date,Sin nombre,Viga,Deficiencia constructiva,Acero,Parcial,Servicio,Turquia
311,No date,Sin nombre,Suspension,Deficiencia constructiva,Acero,Total,Servicio,Turquia
312,No date,Sin nombre,Suspension,Deficiencia constructiva,Acero,Parcial,Servicio,Turquia
313,No date,Sin nombre,Suspension,Deficiencia constructiva,Acero,Parcial,Servicio,Turquia
314,2015,Pennsylvania,Viga,Deficiencia constructiva,Hormig�n armado,Parcial,Construccion,USA
315,2003,California,Viga,Deficiencia constructiva,Hormig�n armado,Parcial,Construccion,USA
316,2009,California,No definido,Deficiencia constructiva,No definido,Parcial,Servicio,USA
317,1927,New Jersey,Suspension,Deficiencia constructiva,No definido,Parcial,Construccion,USA
318,1970,Florida,No definido,Deficiencia constructiva,No definido,Parcial,Servicio,USA
319,2004,Colorado,No definido,Deficiencia constructiva,Hormig�n armado,Total,Construccion,USA
320,1887,Massachusetts,Viga,Deficiencia constructiva,Hierro fundido,Total,Servicio,USA
321,1887,Massachusetts - Bussey,Armadura,Deficiencia constructiva,Hierro fundido,Total,Servicio,USA
322,2002,New York,No definido,Deficiencia constructiva,Hormig�n armado,Total,Construccion,USA
323,1981,Missouri,Suspension,Deficiencia constructiva,Madera,Total,Servicio,USA
324,2015,Ohio,No definido,Deficiencia constructiva,No definido,Total,Construccion,USA
