N°,Date,Name,Type,Cause,Material,Collapse,Status,Country,Region,Sub-region,,,,,
101,1963,Kristiansund,Beam,Collision events,Reinforced concrete,Partial,Operational,Norway,Europe,Northern Europe,,,,,
102,2000,Chagres,Beam,Collision events,Not defined,Partial,Operational,Panama,Central /SouthAmerica,Central America,,,,,
103,1999,Rio Chiriquí,Suspension,Collision events,Steel,Total,Operational,Panama,Central /SouthAmerica,Central America,,,,,
104,1952,Harrow and Wealdstone,Not defined,Collision events,Not defined,Total,Operational,United Kingdom,Europe,Northern Europe,,,,,
105,1957,St. Johns station,Truss,Collision events,Steel,Total,Operational,United Kingdom,Europe,Northern Europe,,,,,
106,1960,Severn,Arch,Collision events,Composite ,Total,Operational,United Kingdom,Europe,Northern Europe,,,,,
107,1922,Sheppey,Beam,Collision events,Not defined,Partial,Operational,United Kingdom,Europe,Northern Europe,,,,,
108,1957,St John´s,Beam,Collision events,Reinforced concrete,Partial,Operational,United Kingdom,Europe,Northern Europe,,,,,
109,1975,M62,Suspension,Collision events,Reinforced concrete,Total,Operational,United Kingdom,Europe,Northern Europe,,,,,
110,2005,Codsall,Suspension,Collision events,Composite,Total,Operational,United Kingdom,Europe,Northern Europe,,,,,
111,2011,Severn Railway Bridge,Truss,Collision events,Steel,Partial,Operational,United Kingdom,Europe,Northern Europe,,,,,
112,2008,Stúdenka bridge,Beam,Collision events,Steel,Total,Operational,Republica Checa,Europe,Western Central Europe,,,,,
113,1980,Almöbron,Arch,Collision events,Steel,Partial,Operational,Sweden,Europe,Northern Europe,,,,,
114,1977,Gothenburg Harbour,Not defined,Collision events,Not defined,Partial,Operational,Sweden,Europe,Northern Europe,,,,,
115,1980,Almö Sound,Arch,Collision events,Reinforced concrete,Total,Operational,Sweden,Europe,Northern Europe,,,,,
116,1980,Tjorn,Beam,Collision events,Not defined,Total,Operational,Sweden,Europe,Northern Europe,,,,,
117,1980,Almö Bridge,Truss,Collision events,Reinforced concrete,Total,Construction,Sweden,Europe,Northern Europe,,,,,
118,1891,Münchenstein Bridge,Arch,Collision events,Steel,Total,Operational,Switzerland,Europe,Western and Central Europe ,,,,,
119,No date,no definido,Beam,Collision events,Reinforced concrete,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
120,No date,no definido,Beam,Collision events,Reinforced concrete,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
121,No date,no definido,Beam,Collision events,Reinforced concrete,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
122,No date,no definido,Beam,Collision events,Reinforced concrete,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
123,No date,no definido,Beam,Collision events,Reinforced concrete,Partial,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
124,No date,no definido,Beam,Collision events,Reinforced concrete,Partial,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
125,No date,no definido,Beam,Collision events,Reinforced concrete,Partial,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
126,No date,no definido,Beam,Collision events,Reinforced concrete,Partial,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
127,No date,no definido,Beam,Collision events,Reinforced concrete,Partial,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
128,No date,no definido,Beam,Collision events,Steel,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
129,No date,no definido,Beam,Collision events,Steel,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
